y_now,v_now,y_next,v_next
394.77267584178543,-19.6,375.1726758417854,-29.400000000000002
375.1726758417854,-29.400000000000002,345.77267584178543,-39.2
345.77267584178543,-39.2,306.57267584178544,-49.0
411.56414870798784,0.0,411.56414870798784,-9.8
411.56414870798784,-9.8,401.76414870798783,-19.6
401.76414870798783,-19.6,382.1641487079878,-29.400000000000002
382.1641487079878,-29.400000000000002,352.76414870798783,-39.2
352.76414870798783,-39.2,313.56414870798784,-49.0
278.55577929671915,0.0,278.55577929671915,-9.8
278.55577929671915,-9.8,268.75577929671914,-19.6
268.75577929671914,-19.6,249.15577929671915,-29.400000000000002
249.15577929671915,-29.400000000000002,219.75577929671914,-39.2
219.75577929671914,-39.2,180.55577929671915,-49.0
453.7265223713811,0.0,453.7265223713811,-9.8
453.7265223713811,-9.8,443.9265223713811,-19.6
443.9265223713811,-19.6,424.3265223713811,-29.400000000000002
424.3265223713811,-29.400000000000002,394.9265223713811,-39.2
394.9265223713811,-39.2,355.7265223713811,-49.0
330.26627069000904,0.0,330.26627069000904,-9.8
330.26627069000904,-9.8,320.466270690009,-19.6
320.466270690009,-19.6,300.866270690009,-29.400000000000002
300.866270690009,-29.400000000000002,271.466270690009,-39.2
271.466270690009,-39.2,232.26627069000904,-49.0
423.73206834565457,0.0,423.73206834565457,-9.8
423.73206834565457,-9.8,413.93206834565456,-19.6
413.93206834565456,-19.6,394.33206834565453,-29.400000000000002
394.33206834565453,-29.400000000000002,364.93206834565456,-39.2
364.93206834565456,-39.2,325.73206834565457,-49.0
404.4822367461449,0.0,404.4822367461449,-9.8
404.4822367461449,-9.8,394.6822367461449,-19.6
394.6822367461449,-19.6,375.0822367461449,-29.400000000000002
375.0822367461449,-29.400000000000002,345.6822367461449,-39.2
345.6822367461449,-39.2,306.4822367461449,-49.0
261.55932711065225,0.0,261.55932711065225,-9.8
261.55932711065225,-9.8,251.75932711065224,-19.6
251.75932711065224,-19.6,232.15932711065224,-29.400000000000002
232.15932711065224,-29.400000000000002,202.75932711065224,-39.2
